id,file,status,source,detail,unknown,opcode_empty
00121,CarbonCreditAuction__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\CarbonCreditAuction__expression_0000.json (deployed_bytecode),,0
00122,CarbonCreditAuction__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\CarbonCreditAuction__dead_code_0000.json (deployed_bytecode),,0
00123,CarbonTradingExchange__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\CarbonTradingExchange__rename_0000.json (deployed_bytecode),,0
00124,CarbonTradingExchange__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\CarbonTradingExchange__expression_0000.json (deployed_bytecode),,0
00125,CarbonTradingExchange__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\CarbonTradingExchange__dead_code_0000.json (deployed_bytecode),,0
00126,ClimateResearchFundVote__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\ClimateResearchFundVote__expression_0000.json (deployed_bytecode),,0
00127,ClimateResearchFundVote__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\ClimateResearchFundVote__fhe_swap_0000.json (deployed_bytecode),,0
00128,ClimateResearchFundVote__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\ClimateResearchFundVote__dead_code_0000.json (deployed_bytecode),,0
00129,ClinicalDrugTrialBlind__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\ClinicalDrugTrialBlind__rename_0000.json (deployed_bytecode),,0
00130,ClinicalDrugTrialBlind__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\ClinicalDrugTrialBlind__fhe_swap_0000.json (deployed_bytecode),,0
00131,ClinicalDrugTrialBlind__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\ClinicalDrugTrialBlind__dead_code_0000.json (deployed_bytecode),,0
00132,CloakedCompounder__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\CloakedCompounder__rename_0000.json (deployed_bytecode),,0
00133,CloakedCompounder__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\CloakedCompounder__expression_0000.json (deployed_bytecode),,0
00134,CloakedCompounder__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\CloakedCompounder__dead_code_0000.json (deployed_bytecode),,0
00135,CommunityGardenPlotVote__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\CommunityGardenPlotVote__rename_0000.json (deployed_bytecode),,0
00136,CommunityGardenPlotVote__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\CommunityGardenPlotVote__fhe_swap_0000.json (deployed_bytecode),,0
00137,CommunityGardenPlotVote__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\CommunityGardenPlotVote__dead_code_0000.json (deployed_bytecode),,0
00138,ConfidentialBounty_b7_001__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\ConfidentialBounty_b7_001__rename_0000.json (deployed_bytecode),,0
00139,ConfidentialBounty_b7_001__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\ConfidentialBounty_b7_001__expression_0000.json (deployed_bytecode),,0
00140,ConfidentialBounty_b7_001__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\ConfidentialBounty_b7_001__fhe_swap_0000.json (deployed_bytecode),,0
00141,ConfidentialBounty_b7_001__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\ConfidentialBounty_b7_001__dead_code_0000.json (deployed_bytecode),,0
00142,ConfidentialCarbonTaxRebateDistribution__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\ConfidentialCarbonTaxRebateDistribution__rename_0000.json (deployed_bytecode),,0
00143,ConfidentialCarbonTaxRebateDistribution__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\ConfidentialCarbonTaxRebateDistribution__expression_0000.json (deployed_bytecode),,0
